,Female,Male,Other,Under Investigation or Not Otherwise Listed*
3/28/20,14,22,0,1
3/29/20,16,27,0,1
3/30/20,21,33,0,0
3/31/20,27,39,0,0
4/1/20,32,47,0,0
4/2/20,36,55,0,0
4/3/20,47,70,0,2
4/4/20,50,79,0,3
4/5/20,53,91,0,3
4/6/20,65,104,0,3
4/7/20,77,118,0,4
4/8/20,88,129,0,5
4/9/20,95,140,0,6
4/10/20,107,153,0,7
4/11/20,125,167,0,7
4/12/20,134,183,0,7
4/13/20,147,207,0,9
4/14/20,155,234,0,12
4/15/20,173,268,0,14
4/16/20,192,287,0,16
4/17/20,227,347,0,2
4/18/20,233,365,0,3
4/19/20,238,376,0,3
4/20/20,261,396,1,5
4/21/20,294,429,1,5
4/22/20,323,464,1,8
4/23/20,339,499,1,8
4/24/20,361,523,1,10
4/25/20,365,537,1,11
4/26/20,377,552,1,13
4/27/20,402,585,1,12
4/28/20,428,613,1,14
4/29/20,450,637,1,23
4/30/20,484,669,1,17
5/1/20,501,689,1,17
5/2/20,513,696,1,18
5/3/20,528,708,1,18
5/4/20,563,730,1,18
5/5/20,595,752,1,19
5/6/20,614,802,1,0
5/7/20,633,834,1,0
5/8/20,659,850,1,2
5/9/20,667,857,1,5
5/10/20,685,876,1,6
5/11/20,706,898,1,7
5/12/20,726,921,1,10
5/13/20,749,947,1,11
5/14/20,768,968,1,16
5/15/20,791,987,1,13
5/16/20,803,1004,1,13
5/17/20,811,1018,1,7
5/18/20,845,1059,1,8
5/19/20,867,1084,1,18
5/20/20,883,1109,1,21
5/21/20,900,1122,1,26
5/22/20,918,1143,1,28
5/23/20,922,1151,1,30
5/24/20,928,1158,1,29
5/25/20,938,1174,1,29
5/26/20,970,1218,1,4
5/27/20,997,1243,1,0
5/28/20,1018,1271,1,0
5/29/20,1037,1295,1,4
5/30/20,1047,1310,1,4
5/31/20,1055,1324,1,4
6/1/20,1083,1353,1,6
6/2/20,1097,1378,1,11
6/3/20,1113,1406,1,11
6/4/20,1127,1425,1,12
6/5/20,1155,1450,1,14
6/6/20,1167,1459,1,18
6/7/20,1170,1461,1,23
6/8/20,1191,1494,1,21
6/9/20,1224,1542,1,0
6/10/20,1247,1565,1,0
6/11/20,1255,1571,1,5
6/12/20,1280,1602,1,7
6/13/20,1283,1612,1,11
6/14/20,1290,1624,1,11
6/15/20,1305,1640,1,13
6/16/20,1315,1662,1,13
6/17/20,1331,1682,1,13
6/18/20,1342,1707,1,13
6/19/20,1365,1727,1,17
6/20/20,1366,1735,1,18
6/21/20,1377,1740,1,19
6/22/20,1387,1764,1,19
6/23/20,1407,1776,1,21
6/24/20,1430,1796,1,19
6/25/20,1433,1813,1,20
6/26/20,1445,1839,1,0
6/27/20,1457,1847,1,0
6/28/20,1466,1859,1,0
6/29/20,1481,1882,1,5
6/30/20,1493,1898,1,7
7/1/20,1515,1928,1,10
7/2/20,1515,1928,1,10
7/3/20,1515,1928,1,10
7/4/20,1530,1947,1,9
7/5/20,1551,1973,1,9
7/6/20,1570,1997,1,11
7/7/20,1593,2031,1,17
7/8/20,1616,2072,1,0
7/9/20,1634,2101,1,2
7/10/20,1655,2132,1,5
7/11/20,1662,2139,1,7
7/12/20,1665,2148,1,8
7/13/20,1694,2190,1,9
7/14/20,1704,2212,2,18
7/15/20,1725,2245,2,16
7/16/20,1748,2280,2,17
7/17/20,1761,2303,2,18
7/18/20,1779,2314,2,0
7/19/20,1782,2320,2,0
7/20/20,1801,2351,2,0
7/21/20,1821,2389,2,1
7/22/20,1836,2422,2,2
7/23/20,1853,2443,2,2
7/24/20,1872,2475,2,2
7/25/20,1876,2478,2,4
7/26/20,1887,2482,2,4
7/27/20,1908,2512,2,4
7/28/20,1944,2556,2,14
7/29/20,1965,2574,2,11
7/30/20,1991,2611,2,17
7/31/20,2010,2639,2,18
8/1/20,2017,2655,2,18
8/2/20,2020,2661,2,18
8/3/20,2039,2698,2,19
8/4/20,2060,2740,2,23
8/5/20,2073,2773,2,21
8/6/20,2091,2804,2,21
8/7/20,2106,2836,2,23
8/8/20,2112,2840,2,23
8/9/20,2120,2851,2,23
8/10/20,2143,2886,2,26
8/11/20,2166,2913,2,28
8/12/20,2199,2940,2,30
8/13/20,2217,2965,2,30
8/14/20,2230,2982,2,31
8/15/20,2234,2986,2,32
8/16/20,2238,3001,2,32
8/17/20,2256,3045,2,32
8/18/20,2282,3068,2,40
8/19/20,2307,3096,2,41
8/20/20,2327,3120,2,42
8/21/20,2348,3144,2,43
8/22/20,2351,3149,2,43
8/23/20,2358,3155,2,43
8/24/20,2382,3176,2,45
8/25/20,2403,3208,2,50
8/26/20,2422,3226,2,51
8/27/20,2432,3247,2,51
8/28/20,2446,3257,2,54
8/29/20,2449,3260,2,58
8/30/20,2455,3269,2,58
8/31/20,2476,3293,2,58
9/1/20,2488,3322,2,66
9/2/20,2511,3354,2,65
9/3/20,2529,3381,2,65
9/4/20,2537,3392,2,69
9/5/20,2539,3395,2,69
9/6/20,2549,3410,2,69
9/7/20,2554,3411,2,69
9/8/20,2580,3439,2,69
9/9/20,2602,3455,2,69
9/10/20,2623,3474,2,72
9/11/20,2634,3486,2,75
9/12/20,2639,3491,2,76
9/13/20,2655,3498,2,76
9/14/20,2674,3521,2,76
9/15/20,2688,3535,2,61
9/16/20,2698,3544,2,80
9/17/20,2702,3546,2,80
9/18/20,2702,3546,2,80
9/19/20,2711,3559,2,81
9/20/20,2721,3562,2,81
9/21/20,2736,3582,2,81
9/22/20,2746,3594,2,81
9/23/20,2762,3608,2,83
9/24/20,2780,3620,2,84
9/25/20,2784,3630,2,88
9/26/20,2788,3636,2,88
9/27/20,2790,3637,2,86
9/28/20,2808,3655,2,86
9/29/20,2819,3667,2,88
9/30/20,2826,3695,2,87
10/1/20,2834,3700,2,90
10/2/20,2840,3710,2,89
10/3/20,2842,3713,2,89
10/4/20,2845,3717,2,90
10/5/20,2856,3734,2,90
10/6/20,2865,3752,2,90
10/7/20,2869,3765,2,90
10/8/20,2875,3774,2,90
10/9/20,2884,3792,2,90
10/10/20,2884,3794,2,91
10/11/20,2885,3795,2,91
10/12/20,2894,3803,2,91
10/13/20,2900,3816,2,94
10/14/20,2906,3831,2,95
10/15/20,2919,3839,2,95
10/16/20,2925,3840,2,96
10/17/20,2933,3845,2,96
10/18/20,2933,3846,2,96
10/19/20,2947,3867,2,96
10/20/20,2958,3888,2,96
10/21/20,2965,3893,2,96
10/22/20,2970,3906,2,96
10/23/20,2976,3915,2,96
10/24/20,2977,3918,2,96
10/25/20,2979,3922,2,97
10/26/20,2984,3945,2,96
10/27/20,2989,3952,3,96
10/28/20,2987,3954,3,100
10/29/20,2988,3966,3,99
10/30/20,2995,3973,3,100
10/31/20,2996,3975,3,100
11/1/20,2997,3976,3,100
11/2/20,3006,3988,3,100
11/3/20,3016,3998,3,100
11/4/20,3028,4008,3,101
11/5/20,3037,4016,3,101
11/6/20,3041,4024,3,102
11/7/20,3041,4026,3,102
11/8/20,3044,4028,3,102
11/9/20,3055,4040,3,102
11/10/20,3061,4048,3,104
11/11/20,3062,4050,3,106
11/12/20,3071,4066,3,106
11/13/20,3078,4078,3,107
11/14/20,3080,4079,3,107
11/15/20,3082,4083,3,107
11/16/20,3090,4099,3,107
11/17/20,3111,4114,3,107
11/18/20,3117,4134,3,109
11/19/20,3132,4151,3,110
11/20/20,3143,4172,3,111
11/21/20,3145,4179,3,111
11/22/20,3150,4182,3,111
11/23/20,3177,4206,3,111
11/24/20,3194,4231,3,116
11/25/20,3208,4253,3,116
11/26/20,3220,4266,3,115
11/27/20,3225,4280,3,115
11/28/20,3234,4287,3,115
11/29/20,3242,4295,3,115
11/30/20,3263,4318,3,116
12/1/20,3285,4334,3,118
12/2/20,3301,4358,3,120
12/3/20,3326,4389,3,124
12/4/20,3346,4414,3,123
12/5/20,3354,4429,3,123
12/6/20,3362,4448,3,123
12/7/20,3391,4483,3,123
12/8/20,3413,4531,3,128
12/9/20,3438,4579,3,129
12/10/20,3458,4607,3,131
12/11/20,3484,4649,3,133
12/12/20,3494,4665,3,136
12/13/20,3511,4695,3,136
12/14/20,3551,4741,3,136
12/15/20,3604,4818,3,143
12/16/20,3644,4870,3,147
12/17/20,3684,4916,3,154
12/18/20,3711,4946,3,157
12/19/20,3731,4979,3,162
12/20/20,3731,4979,3,218
12/21/20,3746,5019,3,248
12/22/20,3786,5061,3,301
12/23/20,3903,5210,3,183
12/24/20,3903,5210,3,317
12/25/20,3960,5285,3,190
12/26/20,3971,5316,3,192
12/27/20,4003,5354,3,195
12/28/20,4095,5480,3,204
12/29/20,4210,5615,3,228
12/30/20,4324,5777,3,241
12/31/20,4405,5903,3,241
1/1/21,4459,5976,3,244
1/2/21,4498,6022,3,250
1/3/21,4530,6067,3,250
1/4/21,4626,6190,3,252
1/5/21,4722,6332,3,271
1/6/21,4803,6447,3,292
1/7/21,4940,6623,3,297
1/8/21,5033,6742,3,306
1/9/21,5101,6833,3,313
1/10/21,5150,6918,3,316
1/11/21,5259,7095,3,317
1/12/21,5343,7259,3,350
1/13/21,5453,7426,3,352
1/14/21,5548,7573,3,365
1/15/21,5629,7727,4,381
1/16/21,5658,7788,4,398
1/17/21,5688,7850,4,394
1/18/21,5762,7953,4,403
1/19/21,5867,8114,4,399
1/20/21,5953,8258,4,426
1/21/21,6043,8400,4,447
1/22/21,6132,8560,4,466
1/23/21,6157,8611,4,488
1/24/21,6169,8640,4,490
1/25/21,6284,8804,4,500
1/26/21,6395,8975,4,523
1/27/21,6495,9109,3,500
1/28/21,6568,9242,3,519
1/29/21,6695,9409,3,540
1/30/21,6750,9485,3,532
1/31/21,6781,9538,3,532
2/1/21,6850,9668,3,536
2/2/21,6942,9807,3,556
2/3/21,7032,9943,3,561
2/4/21,7116,10067,3,578
2/5/21,7186,10180,3,586
2/6/21,7220,10230,3,591
2/7/21,7252,10286,3,594
2/8/21,7336,10417,3,604
2/9/21,7391,10495,3,611
2/10/21,7461,10587,3,607
2/11/21,7752,11008,3,26
2/12/21,7827,11113,3,41
2/13/21,7852,11160,3,51
2/14/21,7866,11177,3,49
2/15/21,7910,11253,3,49
2/16/21,7964,11351,3,50
2/17/21,8010,11439,3,62
2/18/21,8061,11525,3,73
2/19/21,8110,11598,3,82
2/20/21,8145,11647,3,90
2/21/21,8151,11660,3,90
2/22/21,8228,11746,3,80
2/23/21,8639,12251,3,94
2/24/21,8685,12312,3,97
2/25/21,8743,12389,3,106
2/26/21,8772,12449,3,104
2/27/21,8803,12519,3,110
2/28/21,8818,12536,3,110
3/1/21,8852,12590,3,109
3/2/21,8904,12645,3,117
3/3/21,8945,12706,3,124
3/4/21,9006,12778,3,123
3/5/21,9042,12837,3,126
3/6/21,9049,12844,3,133
3/7/21,9053,12852,3,133
3/8/21,9073,12890,3,133
3/9/21,9130,12942,3,138
3/10/21,9168,12992,3,86
3/11/21,9206,13048,3,147
3/12/21,9222,13071,3,150
3/13/21,9237,13081,3,153
3/14/21,9236,13083,3,153
3/15/21,9264,13120,3,132
3/16/21,9280,13163,3,134
3/17/21,9318,13208,3,135
3/18/21,9347,13235,3,137
3/19/21,9369,13267,3,138
3/20/21,9378,13280,3,136
3/21/21,9382,13285,3,136
3/22/21,9402,13321,3,145
3/23/21,9432,13371,3,154
3/24/21,9459,13399,3,159
3/25/21,9476,13414,3,162
3/26/21,9481,13430,3,164
3/27/21,9479,13431,3,165
3/28/21,9481,13436,3,164
3/29/21,9492,13451,3,164
3/30/21,9502,13473,3,165
3/31/21,9492,13451,3,197
4/1/21,9539,13529,3,164
4/2/21,9557,13549,3,165
4/3/21,9558,13548,3,166
4/4/21,9560,13547,3,166
4/5/21,9564,13558,3,167
4/6/21,9581,13585,3,171
4/7/21,9610,13600,3,175
4/8/21,9626,13625,3,177
4/9/21,9638,13649,3,177
4/10/21,9644,13653,3,177
4/11/21,9644,13655,3,177
4/12/21,9658,13660,3,177
4/13/21,9683,13689,4,177
4/14/21,9689,13698,4,178
4/15/21,9708,13717,4,172
4/16/21,9714,13734,4,174
4/17/21,9714,13731,4,177
4/18/21,9721,13742,4,174
4/19/21,9734,13756,4,174
4/20/21,9749,13774,4,175
4/21/21,9765,13792,4,175
4/22/21,9780,13800,4,175
4/23/21,9785,13811,4,173
4/24/21,9786,13807,4,176
4/25/21,9789,13808,4,176
4/26/21,9799,13820,4,178
4/27/21,9807,13839,4,181
4/28/21,9817,13867,4,184
4/29/21,9823,13879,4,184
4/30/21,9836,13888,4,187
5/1/21,9839,13892,4,180
5/2/21,9839,13892,4,180
5/3/21,9845,13901,4,180
5/4/21,9851,13913,4,180
5/5/21,9851,13913,4,196
5/6/21,9862,13934,4,180
5/7/21,9869,13941,4,181
5/8/21,9871,13943,4,181
5/9/21,9872,13946,4,181
5/10/21,9878,13957,4,181
5/11/21,9885,13970,4,182
5/12/21,9893,13978,4,182
5/13/21,9899,13989,4,182
5/14/21,9903,13999,4,182
5/15/21,9906,14001,4,183
5/16/21,9908,14002,4,183
5/17/21,9913,14005,4,184
5/18/21,9920,14010,4,183
5/19/21,9933,14020,4,183
5/20/21,9942,14023,4,184
5/21/21,9950,14028,4,184
5/22/21,9952,14031,4,184
5/23/21,9953,14034,4,184
5/24/21,9956,14040,4,184
5/25/21,9962,14045,4,183
5/26/21,10008,14125,4,184
5/27/21,10015,14128,4,186
5/28/21,10015,14133,4,186
5/29/21,10014,14135,4,186
5/30/21,10016,14137,4,186
5/31/21,10017,14139,4,186
6/1/21,10020,14144,4,186
6/2/21,10022,14152,4,186
6/3/21,10029,14159,4,186
6/4/21,10033,14165,4,187
6/5/21,10033,14165,4,187
6/6/21,10035,14166,4,187
6/7/21,10043,14169,4,188
6/8/21,10045,14171,4,188
6/9/21,10044,14173,4,188
6/10/21,10044,14173,4,188
6/11/21,10044,14173,4,188
6/12/21,10046,14176,4,188