Date,Age-0to17,Age-18to64,Age-65older,Race-AmericanIndianAlaskaNative,Race-Asian,Race-Black,Race-Hispanic,Race-Hawaiian,Race-White,Sex-Female,Sex-Male,Sex-Other
2020-03-28,0,12,25,0,0,0,0,0,0,14,22,0
2020-03-29,0,13,31,0,0,0,0,0,0,16,27,0
2020-03-30,0,17,37,0,0,0,0,0,0,21,33,0
2020-03-31,0,19,47,0,0,0,0,0,0,27,39,0
2020-04-01,0,20,59,0,0,0,0,0,0,32,47,0
2020-04-02,0,24,67,0,0,0,0,0,0,36,55,0
2020-04-03,0,35,84,0,0,0,0,0,0,47,70,0
2020-04-04,0,38,94,0,0,0,0,0,0,50,79,0
2020-04-05,0,41,106,0,0,0,0,0,0,53,91,0
2020-04-06,0,47,125,0,0,0,0,0,0,65,104,0
2020-04-07,0,56,143,0,0,0,0,0,0,77,118,0
2020-04-08,0,62,160,0,34,23,47,0,52,88,129,0
2020-04-09,0,70,170,0,38,26,54,0,56,95,140,0
2020-04-10,0,72,192,0,41,28,68,0,69,107,153,0
2020-04-11,0,78,218,0,46,34,80,0,82,125,167,0
2020-04-12,0,90,229,0,48,39,90,0,87,134,183,0
2020-04-13,0,99,254,0,52,47,105,0,92,147,207,0
2020-04-14,0,111,277,0,59,56,116,0,110,155,234,0
2020-04-15,0,120,320,0,67,65,132,0,121,173,268,0
2020-04-16,0,130,348,0,74,71,151,0,125,192,287,0
2020-04-17,0,149,404,0,85,80,183,0,142,227,347,0
2020-04-18,0,156,421,0,92,83,190,0,152,233,365,0
2020-04-19,0,159,434,0,95,87,196,0,155,238,376,0
2020-04-20,0,165,467,0,106,93,212,0,164,261,396,1
2020-04-21,0,180,515,0,119,102,242,0,177,294,429,1
2020-04-22,0,194,565,1,129,109,269,6,201,323,464,1
2020-04-23,0,202,607,1,143,115,295,6,231,339,499,1
2020-04-24,0,211,644,1,154,118,311,6,245,361,523,1
2020-04-25,0,216,657,1,158,119,322,6,249,365,537,1
2020-04-26,0,219,681,1,165,122,337,6,262,377,552,1
2020-04-27,0,236,717,1,175,129,361,6,275,402,585,1
2020-04-28,0,247,758,1,186,133,381,6,291,428,613,1
2020-04-29,0,258,793,1,195,135,402,6,301,450,637,1
2020-04-30,0,277,887,1,206,144,420,6,325,484,669,1
2020-05-01,0,277,909,1,211,144,434,6,338,501,689,1
2020-05-02,0,280,925,1,218,147,443,6,345,513,696,1
2020-05-03,0,284,948,1,226,149,453,6,351,528,708,1
2020-05-04,0,295,994,1,235,156,482,6,364,563,730,1
2020-05-05,0,308,1035,1,243,163,509,6,377,595,752,1
2020-05-06,0,315,1102,1,253,181,531,6,413,614,802,1
2020-05-07,0,325,1143,1,258,188,552,6,432,633,834,1
2020-05-08,0,333,1177,1,272,193,562,6,443,659,850,1
2020-05-09,0,336,1189,1,274,196,568,6,448,667,857,1
2020-05-10,0,341,1221,1,276,203,582,6,461,685,876,1
2020-05-11,0,349,1256,1,282,208,597,6,477,706,898,1
2020-05-12,0,359,1289,1,286,212,620,6,493,726,921,1
2020-05-13,0,371,1326,1,298,217,633,6,506,749,947,1
2020-05-14,0,376,1361,2,304,224,650,6,515,768,968,1
2020-05-15,0,385,1394,2,308,227,671,6,530,791,987,1
2020-05-16,0,390,1418,2,310,231,685,6,540,803,1004,1
2020-05-17,0,394,1437,2,314,232,691,6,547,811,1018,1
2020-05-18,0,415,1491,2,324,245,728,6,566,845,1059,1
2020-05-19,0,429,1524,2,332,250,750,6,583,867,1084,1
2020-05-20,0,440,1554,2,342,256,769,6,594,883,1109,1
2020-05-21,0,445,1579,2,348,257,784,6,602,900,1122,1
2020-05-22,0,453,1610,2,352,261,798,6,620,918,1143,1
2020-05-23,0,455,1620,2,354,261,807,6,622,922,1151,1
2020-05-24,0,458,1630,2,356,264,814,6,626,928,1158,1
2020-05-25,0,465,1649,2,362,270,825,6,629,938,1174,1
2020-05-26,0,482,1711,2,373,275,853,6,634,970,1218,1
2020-05-27,0,493,1748,2,379,278,873,6,649,997,1243,1
2020-05-28,0,509,1781,2,388,282,897,7,665,1018,1271,1
2020-05-29,0,517,1816,2,398,290,923,7,671,1037,1295,1
2020-05-30,0,526,1832,2,402,291,937,7,676,1047,1310,1
2020-05-31,0,532,1848,2,404,295,945,7,682,1055,1324,1
2020-06-01,0,550,1887,2,416,298,968,7,703,1083,1353,1
2020-06-02,0,555,1921,2,420,307,987,7,712,1097,1378,1
2020-06-03,0,572,1948,2,426,312,1007,7,720,1113,1406,1
2020-06-04,0,582,1971,2,445,313,1021,7,732,1127,1425,1
2020-06-05,0,600,2006,2,453,320,1050,8,745,1155,1450,1
2020-06-06,0,606,2021,2,458,323,1061,8,754,1167,1459,1
2020-06-07,0,607,2025,2,460,324,1065,8,755,1170,1461,1
2020-06-08,0,624,2063,2,463,330,1081,8,776,1191,1494,1
2020-06-09,0,654,2114,2,467,333,1119,8,796,1224,1542,1
2020-06-10,0,668,2145,2,473,337,1136,8,814,1247,1565,1
2020-06-11,0,669,2158,2,476,336,1148,10,818,1255,1571,1
2020-06-12,0,689,2194,3,482,340,1173,10,835,1280,1602,1
2020-06-13,0,694,2202,3,486,344,1181,10,842,1283,1612,1
2020-06-14,0,699,2216,3,487,346,1190,10,847,1290,1624,1
2020-06-15,0,708,2240,3,490,347,1206,10,852,1305,1640,1
2020-06-16,0,716,2262,3,495,349,1220,10,864,1315,1662,1
2020-06-17,0,724,2290,3,498,352,1232,10,878,1331,1682,1
2020-06-18,0,731,2319,3,503,355,1251,10,891,1342,1707,1
2020-06-19,0,740,2353,3,507,357,1278,10,904,1365,1727,1
2020-06-20,0,745,2356,3,507,358,1289,10,908,1366,1735,1
2020-06-21,0,749,2369,3,512,361,1294,10,910,1377,1740,1
2020-06-22,0,756,2396,5,518,366,1315,10,906,1387,1764,1
2020-06-23,0,761,2423,5,524,373,1328,10,917,1407,1776,1
2020-06-24,0,771,2456,5,527,379,1350,10,928,1430,1796,1
2020-06-25,0,775,2472,6,531,383,1360,10,928,1433,1813,1
2020-06-26,0,784,2501,9,544,386,1385,10,914,1445,1839,1
2020-06-27,0,789,2516,9,547,392,1392,10,918,1457,1847,1
2020-06-28,0,793,2533,9,550,394,1401,10,923,1466,1859,1
2020-06-29,0,804,2560,9,552,397,1425,10,932,1481,1882,1
2020-06-30,0,811,2581,9,553,401,1441,10,940,1493,1898,1
2020-07-01,0,823,2621,9,559,406,1464,11,952,1515,1928,1
2020-07-02,0,823,2621,9,559,406,1464,11,952,1515,1928,1
2020-07-03,0,823,2621,9,559,406,1464,11,952,1515,1928,1
2020-07-04,0,836,2642,9,562,409,1486,11,959,1530,1947,1
2020-07-05,0,849,2676,9,565,411,1514,11,970,1551,1973,1
2020-07-06,0,864,2704,9,570,412,1542,12,980,1570,1997,1
2020-07-07,0,891,2734,9,579,416,1587,12,993,1593,2031,1
2020-07-08,0,920,2769,9,578,419,1623,13,997,1616,2072,1
2020-07-09,0,937,2799,9,581,424,1661,14,1001,1634,2101,1
2020-07-10,0,951,2837,9,584,431,1687,14,1011,1655,2132,1
2020-07-11,0,953,2849,9,586,434,1698,14,1018,1662,2139,1
2020-07-12,0,953,2862,9,587,434,1703,15,1021,1665,2148,1
2020-07-13,0,973,2912,9,594,438,1738,15,1041,1694,2190,1
2020-07-14,0,985,2933,9,601,441,1760,16,1047,1704,2212,2
2020-07-15,0,1005,2967,9,606,445,1796,17,1048,1725,2245,2
2020-07-16,0,1020,3010,9,614,448,1835,17,1057,1748,2280,2
2020-07-17,0,1031,3035,9,614,459,1860,17,1070,1761,2303,2
2020-07-18,0,1039,3056,9,614,460,1865,17,1075,1779,2314,2
2020-07-19,0,1042,3062,9,614,460,1868,17,1081,1782,2320,2
2020-07-20,0,1046,3097,10,618,463,1898,17,1088,1801,2351,2
2020-07-21,0,1046,3137,10,628,469,1937,17,1101,1821,2389,2
2020-07-22,0,1046,3168,10,637,473,1964,17,1107,1836,2422,2
2020-07-23,0,1051,3168,10,643,478,1988,17,1109,1853,2443,2
2020-07-24,0,1051,3168,10,646,483,2020,17,1116,1872,2475,2
2020-07-25,0,1051,3168,10,646,487,2020,17,1119,1876,2478,2
2020-07-26,0,1051,3168,10,649,487,2024,17,1126,1887,2482,2
2020-07-27,0,1051,3346,10,656,490,2058,17,1132,1908,2512,2
2020-07-28,0,1075,3402,10,670,497,2115,17,1130,1944,2556,2
2020-07-29,0,1083,3433,10,677,501,2135,17,1155,1965,2574,2
2020-07-30,0,1102,3476,10,688,508,2178,16,1164,1991,2611,2
2020-07-31,0,1121,3506,10,692,516,2204,16,1173,2010,2639,2
2020-08-01,0,1131,3519,10,696,519,2217,16,1175,2017,2655,2
2020-08-02,0,1134,3524,10,696,520,2223,16,1177,2020,2661,2
2020-08-03,0,1150,3564,10,703,526,2262,16,1182,2039,2698,2
2020-08-04,0,1168,3609,10,717,531,2301,16,1192,2060,2740,2
2020-08-05,0,1188,3635,10,724,534,2331,16,1202,2073,2773,2
2020-08-06,0,1200,3672,10,732,534,2358,16,1214,2091,2804,2
2020-08-07,0,1216,3704,10,742,538,2387,16,1221,2106,2836,2
2020-08-08,0,1221,3709,10,744,538,2395,16,1222,2112,2840,2
2020-08-09,0,1228,3721,10,744,540,2407,16,1226,2120,2851,2
2020-08-10,0,1242,3766,10,755,542,2440,16,1239,2143,2886,2
2020-08-11,0,1253,3804,10,765,544,2475,16,1249,2166,2913,2
2020-08-12,0,1267,3851,10,772,547,2513,16,1261,2199,2940,2
2020-08-13,0,1278,3882,10,777,552,2539,16,1270,2217,2965,2
2020-08-14,0,1293,3897,10,778,552,2562,16,1273,2230,2982,2
2020-08-15,0,1294,3904,10,779,553,2567,16,1276,2234,2986,2
2020-08-16,0,1301,3916,10,784,554,2576,16,1281,2238,3001,2
2020-08-17,0,1319,3960,10,797,559,2603,16,1295,2256,3045,2
2020-08-18,0,1328,4000,10,803,568,2634,16,1308,2282,3068,2
2020-08-19,0,1342,4039,10,808,575,2665,16,1321,2307,3096,2
2020-08-20,0,1354,4071,10,810,581,2690,16,1332,2327,3120,2
2020-08-21,0,1394,4135,10,816,583,2719,16,1343,2348,3144,2
2020-08-22,0,1399,4138,10,817,583,2726,16,1343,2351,3149,2
2020-08-23,0,1401,4149,10,818,583,2734,16,1348,2358,3155,2
2020-08-24,0,1413,4184,10,821,585,2764,16,1361,2382,3176,2
2020-08-25,0,1428,4227,10,832,589,2799,16,1375,2403,3208,2
2020-08-26,0,1438,4255,10,839,592,2819,16,1382,2422,3226,2
2020-08-27,0,1441,4283,10,845,597,2831,16,1388,2432,3247,2
2020-08-28,0,1450,4301,10,848,597,2850,16,1390,2446,3257,2
2020-08-29,0,1453,4308,10,849,597,2857,16,1392,2449,3260,2
2020-08-30,0,1459,4317,10,849,599,2865,16,1398,2455,3269,2
2020-08-31,0,1471,4350,10,856,600,2888,16,1409,2476,3293,2
2020-09-01,0,1484,4379,10,865,605,2912,16,1413,2488,3322,2
2020-09-02,0,1496,4427,10,874,606,2939,16,1436,2511,3354,2
2020-09-03,0,1516,4457,10,879,609,2969,16,1447,2529,3381,2
2020-09-04,0,1523,4473,10,881,610,2984,16,1454,2537,3392,2
2020-09-05,0,1524,4477,10,882,610,2987,16,1455,2539,3395,2
2020-09-06,0,1531,4494,10,884,612,3003,16,1455,2549,3410,2
2020-09-07,0,1534,4498,10,885,613,3009,16,1455,2554,3411,2
2020-09-08,0,1559,4527,10,888,621,3038,16,1463,2580,3439,2
2020-09-09,0,1572,4552,10,891,626,3058,18,1468,2602,3455,2
2020-09-10,0,1582,4582,10,899,627,3075,18,1483,2623,3474,2
2020-09-11,0,1588,4604,11,900,632,3092,18,1488,2634,3486,2
2020-09-12,0,1591,4613,11,901,633,3100,18,1491,2639,3491,2
2020-09-13,0,1601,4626,11,902,630,3117,18,1500,2655,3498,2
2020-09-14,0,1610,4659,11,905,633,3143,19,1507,2674,3521,2
2020-09-15,0,1619,4680,11,911,637,3155,19,1514,2688,3535,2
2020-09-16,0,1630,4687,11,915,635,3174,19,1517,2698,3544,2
2020-09-17,0,1638,4688,11,918,635,3182,20,1510,2702,3546,2
2020-09-18,0,1641,4696,11,918,637,3179,21,1508,2702,3546,2
2020-09-19,0,1645,4704,11,920,642,3188,21,1514,2711,3559,2
2020-09-20,0,1649,4713,11,923,643,3194,21,1517,2721,3562,2
2020-09-21,0,1658,4738,12,928,648,3209,21,1523,2736,3582,2
2020-09-22,0,1665,4753,12,929,649,3226,21,1530,2746,3594,2
2020-09-23,0,1678,4772,12,935,654,3242,21,1537,2762,3608,2
2020-09-24,0,1686,4794,12,938,656,3258,21,1547,2780,3620,2
2020-09-25,0,1690,4809,12,944,659,3262,21,1552,2784,3630,2
2020-09-26,0,1691,4818,12,945,659,3267,21,1556,2788,3636,2
2020-09-27,0,1691,4819,12,945,659,3266,21,1558,2790,3637,2
2020-09-28,0,1696,4850,12,948,661,3285,21,1567,2808,3655,2
2020-09-29,0,1703,4867,12,951,665,3308,21,1563,2819,3667,2
2020-09-30,0,1713,4892,12,955,668,3327,21,1573,2826,3695,2
2020-10-01,0,1721,4901,12,959,670,3340,21,1573,2834,3700,2
2020-10-02,0,1721,4915,12,961,675,3343,21,1573,2840,3710,2
2020-10-03,0,1722,4919,12,962,675,3348,21,1574,2842,3713,2
2020-10-04,0,1726,4923,12,962,675,3351,21,1576,2845,3717,2
2020-10-05,0,1733,4944,12,965,675,3367,21,1582,2856,3734,2
2020-10-06,0,1740,4964,12,969,676,3380,21,1592,2865,3752,2
2020-10-07,0,1745,4976,12,972,677,3390,21,1595,2869,3765,2
2020-10-08,0,1746,4990,12,972,677,3396,21,1602,2875,3774,2
2020-10-09,0,1754,5008,12,974,679,3410,21,1611,2884,3792,2
2020-10-10,0,1757,5008,12,974,678,3410,21,1614,2884,3794,2
2020-10-11,0,1757,5010,12,974,678,3411,21,1614,2885,3795,2
2020-10-12,0,1758,5026,12,975,678,3420,21,1622,2894,3803,2
2020-10-13,0,1764,5041,12,979,678,3431,21,1627,2900,3816,2
2020-10-14,0,1770,5057,12,980,679,3440,21,1636,2906,3831,2
2020-10-15,0,1773,5075,12,986,681,3449,21,1640,2919,3839,2
2020-10-16,0,1775,5081,12,986,680,3457,21,1644,2925,3840,2
2020-10-17,0,1777,5092,12,987,680,3466,21,1647,2933,3845,2
2020-10-18,0,1777,5093,12,988,680,3466,21,1647,2933,3846,2
2020-10-19,0,1784,5121,12,990,685,3485,21,1652,2947,3867,2
2020-10-20,0,1787,5150,13,994,690,3504,21,1659,2958,3888,2
2020-10-21,0,1789,5162,14,995,690,3512,21,1664,2965,3893,2
2020-10-22,0,1794,5176,15,1000,690,3522,21,1666,2970,3906,2
2020-10-23,0,1800,5185,15,1002,689,3531,21,1668,2976,3915,2
2020-10-24,0,1801,5188,15,1003,689,3533,21,1668,2977,3918,2
2020-10-25,0,1802,5194,15,1003,689,3536,21,1670,2979,3922,2
2020-10-26,0,1809,5214,15,1003,692,3555,21,1676,2984,3945,2
2020-10-27,0,1816,5220,15,1003,695,3558,21,1685,2989,3952,3
2020-10-28,0,1817,5223,15,1005,696,3563,21,1685,2987,3954,3
2020-10-29,0,1826,5226,16,1006,697,3575,21,1685,2988,3966,3
2020-10-30,0,1828,5239,16,1009,698,3580,21,1685,2995,3973,3
2020-10-31,0,1828,5242,16,1009,698,3582,21,1686,2996,3975,3
2020-11-01,0,1828,5244,16,1009,698,3582,21,1688,2997,3976,3
2020-11-02,0,1832,5262,16,1010,700,3590,21,1694,3006,3988,3
2020-11-03,0,1836,5277,16,1012,700,3599,21,1702,3016,3998,3
2020-11-04,0,1844,5292,16,1014,701,3612,21,1709,3028,4008,3
2020-11-05,0,1849,5304,16,1014,704,3621,21,1715,3037,4016,3
2020-11-06,0,1853,5313,16,1015,704,3628,21,1719,3041,4024,3
2020-11-07,0,1853,5315,16,1015,705,3630,21,1719,3041,4026,3
2020-11-08,0,1855,5318,16,1015,706,3632,21,1720,3044,4028,3
2020-11-09,0,1863,5333,16,1015,708,3644,21,1727,3055,4040,3
2020-11-10,0,1869,5343,16,1016,708,3662,21,1728,3061,4048,3
2020-11-11,0,1871,5346,16,1017,708,3666,21,1729,3062,4050,3
2020-11-12,0,1880,5362,16,1020,709,3680,21,1736,3071,4066,3
2020-11-13,0,1885,5377,16,1020,711,3691,21,1739,3078,4078,3
2020-11-14,0,1887,5378,16,1020,712,3691,21,1741,3080,4079,3
